model,N,M,alg,workers,time,delete,sccs,size1,size2,size3,date
baidu,2141301,17794839,fasttrim,1,97.5,598975,0,0,0,0,2019+AC0-10+AC0-27.16:49:25
baidu,2141301,17794839,fasttrim,2,51.75,598975,0,0,0,0,2019+AC0-10+AC0-27.16:50:09
baidu,2141301,17794839,fasttrim,4,28.208,598975,0,0,0,0,2019+AC0-10+AC0-27.16:50:43
baidu,2141301,17794839,fasttrim,6,31.012,598975,0,0,0,0,2019+AC0-10+AC0-27.16:51:13
baidu,2141301,17794839,fasttrim,8,26.275,598975,0,0,0,0,2019+AC0-10+AC0-27.16:51:41
baidu,2141301,17794839,fasttrim,10,24.958,598975,0,0,0,0,2019+AC0-10+AC0-27.16:52:08
baidu,2141301,17794839,fasttrim,12,22.895,598975,0,0,0,0,2019+AC0-10+AC0-27.16:52:35
baidu,2141301,17794839,fasttrim,14,22.136,598975,0,0,0,0,2019+AC0-10+AC0-27.16:53:02
baidu,2141301,17794839,fasttrim,16,22.262,598975,0,0,0,0,2019+AC0-10+AC0-27.16:53:28
baidu,2141301,17794839,fasttrim,1,96.647,598975,0,0,0,0,2019+AC0-10+AC0-27.16:54:12
baidu,2141301,17794839,fasttrim,2,51.534,598975,0,0,0,0,2019+AC0-10+AC0-27.16:55:09
baidu,2141301,17794839,fasttrim,4,28.212,598975,0,0,0,0,2019+AC0-10+AC0-27.16:56:17
baidu,2141301,17794839,fasttrim,6,30.877,598975,0,0,0,0,2019+AC0-10+AC0-27.16:56:46
baidu,2141301,17794839,fasttrim,8,26.384,598975,0,0,0,0,2019+AC0-10+AC0-27.16:57:15
baidu,2141301,17794839,fasttrim,10,24.987,598975,0,0,0,0,2019+AC0-10+AC0-27.16:57:42
baidu,2141301,17794839,fasttrim,12,22.951,598975,0,0,0,0,2019+AC0-10+AC0-27.16:58:09
baidu,2141301,17794839,fasttrim,14,21.957,598975,0,0,0,0,2019+AC0-10+AC0-27.16:58:36
baidu,2141301,17794839,fasttrim,16,22.142,598975,0,0,0,0,2019+AC0-10+AC0-27.16:59:03
baidu,2141301,17794839,fasttrim,1,98.28,598975,0,0,0,0,2019+AC0-10+AC0-27.16:59:47
baidu,2141301,17794839,fasttrim,2,54.235,598975,0,0,0,0,2019+AC0-10+AC0-27.17:00:32
baidu,2141301,17794839,fasttrim,4,28.133,598975,0,0,0,0,2019+AC0-10+AC0-27.17:01:07
baidu,2141301,17794839,fasttrim,6,31.535,598975,0,0,0,0,2019+AC0-10+AC0-27.17:01:37
baidu,2141301,17794839,fasttrim,8,26.106,598975,0,0,0,0,2019+AC0-10+AC0-27.17:02:05
baidu,2141301,17794839,fasttrim,10,24.867,598975,0,0,0,0,2019+AC0-10+AC0-27.17:02:32
baidu,2141301,17794839,fasttrim,12,22.881,598975,0,0,0,0,2019+AC0-10+AC0-27.17:02:59
baidu,2141301,17794839,fasttrim,14,22.141,598975,0,0,0,0,2019+AC0-10+AC0-27.17:03:25
baidu,2141301,17794839,fasttrim,16,22.016,598975,0,0,0,0,2019+AC0-10+AC0-27.17:03:52
baidu,2141301,17794839,fasttrim,1,98.359,598975,0,0,0,0,2019+AC0-10+AC0-27.17:04:36
baidu,2141301,17794839,fasttrim,2,52.031,598975,0,0,0,0,2019+AC0-10+AC0-27.17:05:22
baidu,2141301,17794839,fasttrim,4,28.365,598975,0,0,0,0,2019+AC0-10+AC0-27.17:05:58
baidu,2141301,17794839,fasttrim,6,31.029,598975,0,0,0,0,2019+AC0-10+AC0-27.17:06:27
baidu,2141301,17794839,fasttrim,8,26.226,598975,0,0,0,0,2019+AC0-10+AC0-27.17:06:55
baidu,2141301,17794839,fasttrim,10,24.718,598975,0,0,0,0,2019+AC0-10+AC0-27.17:07:23
baidu,2141301,17794839,fasttrim,12,23.46,598975,0,0,0,0,2019+AC0-10+AC0-27.17:07:50
baidu,2141301,17794839,fasttrim,14,22.448,598975,0,0,0,0,2019+AC0-10+AC0-27.17:08:16
