model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,sccs,size1,size2,size3,date
baidu,2141301,17794839,tarjan,1,409.196,-1,-1,-1,1503004,1480722,18688,2473,2019-11-05.12:22:52
-bakery.6,11845035,40400559,tarjan,1,899.933,-1,-1,-1,2636212,2636197,0,0,2019-11-05.12:22:55
-cambridge.6,3354295,9483191,tarjan,1,151.522,-1,-1,-1,8413,8412,0,0,2019-11-05.12:22:55
dbpedia,3966925,13820853,tarjan,1,265.002,-1,-1,-1,3636316,3587274,24933,8868,2019-11-05.12:22:56
dbpedia-link,18268993,172183984,tarjan,1,4813.443,-1,-1,-1,14459547,14450686,7201,1107,2019-11-05.12:23:07
-leader-filters.7,26302351,91692858,tarjan,1,927.908,-1,-1,-1,26302351,26302351,0,0,2019-11-05.12:23:12
livej,4847571,68993773,tarjan,1,2355.068,-1,-1,-1,971232,947776,16875,3280,2019-11-05.12:23:17
patent,3774768,16518948,tarjan,1,836.124,-1,-1,-1,3774768,3774768,0,0,2019-11-05.12:23:18
pokec,1632804,30622564,tarjan,1,1049.486,-1,-1,-1,325893,323799,1904,151,2019-11-05.12:23:20
random,10000001,100000000,tarjan,1,28949.373,-1,-1,-1,877,876,0,0,2019-11-05.12:23:53
rmat,9999994,100000000,tarjan,1,17127.34,-1,-1,-1,2247072,2247071,0,0,2019-11-05.12:24:14
ssca2,1048577,157877986,tarjan,1,846.378,-1,-1,-1,31,29,1,0,2019-11-05.12:24:20
wiki_link_en,12150977,378142420,tarjan,1,6853.265,-1,-1,-1,4852900,4846174,3205,1301,2019-11-05.12:24:38
wiki-links,5710993,130160392,tarjan,1,3778.46,-1,-1,-1,2002220,1998569,2692,605,2019-11-05.12:24:46
wiki_talk_en,2987536,24981163,tarjan,1,424.925,-1,-1,-1,2736716,2735641,992,58,2019-11-05.12:24:48
youtube-links,1138500,4942297,tarjan,1,189.635,-1,-1,-1,613423,602053,8696,1709,2019-11-05.12:24:49
