model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,traveledge,sccs,maxscc,size1,size2,size3,parstep,push,vs,es,date
ba-1m-8m,1000000,7999964,fasttrim,1,399.394000,1000000,-1,1000000,7999964,0,0,0,0,0,4096,26,100,100,2021-06-09.15:08:44
baidu,2141301,17794839,fasttrim,1,85.216000,597244,-1,597244,2069785,0,0,0,0,0,4096,110,100,100,2021-06-09.15:08:46
bakery.6,11845035,40400559,fasttrim,1,471.035000,2636196,-1,2636196,18031467,0,0,0,0,0,4096,14,100,100,2021-06-09.15:08:49
cambridge.6,3354295,9483191,fasttrim,1,121.187000,8412,-1,8412,3361031,0,0,0,0,0,4096,7,100,100,2021-06-09.15:08:50
dbpedia,3966925,13820853,fasttrim,1,130.327000,1437127,-1,1437127,5078123,0,0,0,0,0,4096,356,100,100,2021-06-09.15:08:51
er-1m-8m,1000000,8000000,fasttrim,1,53.592000,345,-1,345,1000034,0,0,0,0,0,4096,1,100,100,2021-06-09.15:08:52
leader_filters.7,26302351,91692858,fasttrim,1,607.864000,26302351,-1,26302351,91692858,0,0,0,0,0,4096,5,100,100,2021-06-09.15:08:58
livej,4847571,68993773,fasttrim,1,368.595000,576074,-1,576074,4427386,0,0,0,0,0,4096,8,100,100,2021-06-09.15:09:04
patent,6009555,16518948,fasttrim,1,236.825000,6009552,-1,6009552,16518948,0,0,0,0,0,4096,53,100,100,2021-06-09.15:09:06
pokec,1632804,30622564,fasttrim,1,97.076000,212042,-1,212042,1458746,0,0,0,0,0,4096,7,100,100,2021-06-09.15:09:09
rmat-1m-8m,999760,7810950,fasttrim,1,118.009000,999760,-1,999760,7810950,0,0,0,0,0,4096,365,100,100,2021-06-09.15:09:10
ssca2,1048577,157877986,fasttrim,1,166.545000,11,-1,11,1048570,0,0,0,0,0,4096,1,100,100,2021-06-09.15:09:23
wiki-links,5710993,130160392,fasttrim,1,436.379000,7415,-1,7415,5706115,0,0,0,0,0,4096,549,100,100,2021-06-09.15:09:36
wikitalk,2394385,5021410,fasttrim,1,25.823000,2262385,-1,2262385,165886,0,0,0,0,0,4096,8,100,100,2021-06-09.15:09:37
wiki_talk_en,2987536,24981163,fasttrim,1,55.965000,2293679,-1,2293679,706993,0,0,0,0,0,4096,2,100,100,2021-06-09.15:09:41
ba-1m-8m,1000000,7999964,trim,1,206.724000,1000000,122,1000000,15383227,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:09:42
baidu,2141301,17794839,trim,1,145.524000,597244,9,597244,14450297,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:09:44
bakery.6,11845035,40400559,trim,1,3070.635000,2636196,47,2636196,470296542,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:09:49
cambridge.6,3354295,9483191,trim,1,907.324000,8412,65,8412,217582921,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:09:51
dbpedia,3966925,13820853,trim,1,2371.277000,1437127,116,1437127,296552971,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:09:54
er-1m-8m,1000000,8000000,trim,1,20.271000,345,3,345,2999345,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:09:55
leader_filters.7,26302351,91692858,trim,1,3679.187000,26302351,73,26302351,431332806,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:10:05
livej,4847571,68993773,trim,1,485.948000,576074,8,576074,34336301,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:10:11
patent,6009555,16518948,trim,1,159.997000,6009552,5,6009552,16740118,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:10:13
pokec,1632804,30622564,trim,1,103.459000,212042,5,212042,7145239,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:10:16
rmat-1m-8m,999760,7810950,trim,1,13612.844000,999760,6961,999760,787476302,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:10:30
ssca2,1048577,157877986,trim,1,108.011000,11,2,11,2097136,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:10:43
wiki-links,5710993,130160392,trim,1,429.859000,7415,4,7415,22819345,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:10:57
