model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,traveledge,sccs,maxscc,size1,size2,size3,parstep,push,vs,es,date
com-friendster,124836180,1806067135,tarjan,1,76401.662,-1,-1,-1,-1,124836180,1,124836180,0,0,4096,-1,100,100,2021-06-02.09:35:56
twitter,41354195,1440030213,tarjan,1,53783.456,-1,-1,-1,-1,10425423,30810381,10335259,74002,11181,4096,-1,100,100,2021-06-02.09:38:06
twitter_mpi,52579683,1963263821,tarjan,1,62746.087,-1,-1,-1,-1,12407622,40012384,12282590,105153,13903,4096,-1,100,100,2021-06-02.09:40:47
wiki-link-en,12150977,378142420,tarjan,1,6649.037,-1,-1,-1,-1,4852900,7283915,4846174,3205,1301,4096,-1,100,100,2021-06-02.09:41:07
com-friendster,124836180,1806067135,fasttrim,1,74255.493,124836180,-1,124836180,1930903315,0,0,0,0,0,4096,641,100,100,2021-06-02.09:44:13
twitter,41354195,1440030213,fasttrim,1,7361.171,4157028,-1,4157028,43257463,0,0,0,0,0,4096,127,100,100,2021-06-02.09:45:34
twitter_mpi,52579683,1963263821,fasttrim,1,5687.858,9213375,-1,9213375,54031166,0,0,0,0,0,4096,327,100,100,2021-06-02.09:47:17
wiki-link-en,12150977,378142420,fasttrim,1,1061.865,37099,-1,37099,12152175,0,0,0,0,0,4096,6,100,100,2021-06-02.09:47:32
com-friendster,124836180,1806067135,trim,1,9439222.246,124836180,13973,124836180,1.6868E+11,0,0,0,0,0,4096,-1,100,100,2021-06-02.12:26:43
twitter,41354195,1440030213,trim,1,5419.774,4157028,6,4157028,229289674,0,0,0,0,0,4096,-1,100,100,2021-06-02.12:28:02
twitter_mpi,52579683,1963263821,trim,1,7066.137,9213375,7,9213375,314329767,0,0,0,0,0,4096,-1,100,100,2021-06-02.12:29:47
wiki-link-en,12150977,378142420,trim,1,842.23,37099,4,37099,48494302,0,0,0,0,0,4096,-1,100,100,2021-06-02.12:30:00
com-friendster,124836180,1806067135,ac4trim,1,67456.574,124836180,-1,124836180,1806067135,0,0,0,0,0,4096,775,100,100,2021-06-02.12:32:54
twitter,41354195,1440030213,ac4trim,1,2118.987,4157028,-1,4157028,93811445,0,0,0,0,0,4096,288,100,100,2021-06-02.12:34:09
twitter_mpi,52579683,1963263821,ac4trim,1,1936.343,9213375,-1,9213375,61093667,0,0,0,0,0,4096,15219,100,100,2021-06-02.12:35:50
wiki-link-en,12150977,378142420,ac4trim,1,55.284,37099,-1,37099,312907,0,0,0,0,0,4096,33,100,100,2021-06-02.12:36:03
com-friendster,124836180,1806067135,fasttrim,2,65640.696,124836180,-1,124836180,1864193466,0,0,0,0,0,4096,611,100,100,2021-06-02.12:38:59
twitter,41354195,1440030213,fasttrim,2,3740.76,4157028,-1,4157028,21652255,0,0,0,0,0,4096,227,100,100,2021-06-02.12:40:16
twitter_mpi,52579683,1963263821,fasttrim,2,2928.062,9213375,-1,9213375,27028144,0,0,0,0,0,4096,327,100,100,2021-06-02.12:41:54
wiki-link-en,12150977,378142420,fasttrim,2,555.153,37099,-1,37099,6177441,0,0,0,0,0,4096,6,100,100,2021-06-02.12:42:06
com-friendster,124836180,1806067135,trim,2,4776179.975,124836180,13237,124836180,81865912279,0,0,0,0,0,4096,-1,100,100,2021-06-02.14:03:34
twitter,41354195,1440030213,trim,2,3017.015,4157028,6,4157028,114979021,0,0,0,0,0,4096,-1,100,100,2021-06-02.14:04:50
twitter_mpi,52579683,1963263821,trim,2,3819.035,9213375,7,9213375,157758550,0,0,0,0,0,4096,-1,100,100,2021-06-02.14:06:31
