model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,traveledge,sccs,maxscc,size1,size2,size3,parstep,push,vs,es,date
com-friendster,12482131,180390674,fasttrim,16,2564.034000,12482131,-1,12482131,15349737,0,0,0,0,0,4096,246,10,100,2021-06-11.06:03:56
com-friendster,124836180,180612710,fasttrim,16,16496.445000,124836180,-1,124836180,154061651,0,0,0,0,0,4096,347,100,10,2021-06-11.06:06:55
com-friendster,24962953,361612087,fasttrim,16,4629.392000,24962953,-1,24962953,66292665,0,0,0,0,0,4096,290,20,100,2021-06-11.06:09:11
com-friendster,124836180,361205696,fasttrim,16,31140.428000,124836180,-1,124836180,330284935,0,0,0,0,0,4096,516,100,20,2021-06-11.06:12:52
com-friendster,37451135,541621892,fasttrim,16,7576.728000,37451135,-1,37451135,152610159,0,0,0,0,0,4096,322,30,100,2021-06-11.06:15:22
com-friendster,124836180,541834567,fasttrim,16,25472.694000,124836180,-1,124836180,509058615,0,0,0,0,0,4096,444,100,30,2021-06-11.06:19:28
com-friendster,49940766,722002602,fasttrim,16,16649.550000,49940766,-1,49940766,274603514,0,0,0,0,0,4096,401,40,100,2021-06-11.06:22:18
com-friendster,124836180,722385894,fasttrim,16,40965.460000,124836180,-1,124836180,687363099,0,0,0,0,0,4096,475,100,40,2021-06-11.06:27:19
com-friendster,62414556,902873248,fasttrim,16,15170.513000,62414556,-1,62414556,433644059,0,0,0,0,0,4096,367,50,100,2021-06-11.06:30:18
com-friendster,124836180,903014701,fasttrim,16,43521.496000,124836180,-1,124836180,866585175,0,0,0,0,0,4096,422,100,50,2021-06-11.06:35:44
com-friendster,74896333,1083723540,fasttrim,16,19192.789000,74896333,-1,74896333,627963994,0,0,0,0,0,4096,438,60,100,2021-06-11.06:38:54
com-friendster,124836180,1083658367,fasttrim,16,47605.648000,124836180,-1,124836180,1046083066,0,0,0,0,0,4096,448,100,60,2021-06-11.06:45:02
com-friendster,87386266,1264303192,fasttrim,16,35413.144000,87386266,-1,87386266,857962144,0,0,0,0,0,4096,449,70,100,2021-06-11.06:48:37
