model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,traveledge,sccs,maxscc,size1,size2,size3,parstep,push,vs,es,date
com-friendster,12486412,180911195,fasttrim,1,6282.674000,12486412,-1,12486412,18119711,0,0,0,0,0,4096,273,10,100,2021-06-23.05:23:26
com-friendster,124836180,180613490,fasttrim,1,35003.821000,124836180,-1,124836180,180613490,0,0,0,0,0,4096,310,100,10,2021-06-23.05:34:11
com-friendster,24966526,361438712,fasttrim,1,12606.151000,24966526,-1,24966526,72306947,0,0,0,0,0,4096,345,20,100,2021-06-23.05:43:45
com-friendster,124836180,361224555,fasttrim,1,42693.805000,124836180,-1,124836180,361224555,0,0,0,0,0,4096,346,100,20,2021-06-23.05:54:47
com-friendster,37446885,541666861,fasttrim,1,13399.334000,37446885,-1,37446885,162515124,0,0,0,0,0,4096,298,30,100,2021-06-23.06:03:21
com-friendster,124836180,541844116,fasttrim,1,40636.975000,124836180,-1,124836180,541844116,0,0,0,0,0,4096,340,100,30,2021-06-23.06:14:17
com-friendster,49933251,722364246,fasttrim,1,29232.092000,49933251,-1,49933251,288923359,0,0,0,0,0,4096,351,40,100,2021-06-23.06:24:39
com-friendster,124836180,722410416,fasttrim,1,41117.606000,124836180,-1,124836180,722410416,0,0,0,0,0,4096,489,100,40,2021-06-23.06:35:53
com-friendster,62430306,903507701,fasttrim,1,28913.239000,62430306,-1,62430306,452003356,0,0,0,0,0,4096,409,50,100,2021-06-23.06:47:03
com-friendster,124836180,903022931,fasttrim,1,50925.762000,124836180,-1,124836180,903022931,0,0,0,0,0,4096,486,100,50,2021-06-23.07:01:09
com-friendster,74904016,1083703390,fasttrim,1,34181.885000,74904016,-1,74904016,650288056,0,0,0,0,0,4096,462,60,100,2021-06-23.07:11:37
com-friendster,124836180,1083625083,fasttrim,1,53786.900000,124836180,-1,124836180,1083625083,0,0,0,0,0,4096,468,100,60,2021-06-23.07:24:46
com-friendster,87391649,1264220678,fasttrim,1,36088.111000,87391649,-1,87391649,884942108,0,0,0,0,0,4096,542,70,100,2021-06-23.07:35:16
com-friendster,124836180,1264254801,fasttrim,1,72700.118000,124836180,-1,124836180,1264254801,0,0,0,0,0,4096,509,100,70,2021-06-23.07:50:18
com-friendster,99865017,1444833413,fasttrim,1,46785.384000,99865017,-1,99865017,1156045748,0,0,0,0,0,4096,574,80,100,2021-06-23.08:00:49
com-friendster,124836180,1444847510,fasttrim,1,57209.378000,124836180,-1,124836180,1444847510,0,0,0,0,0,4096,539,100,80,2021-06-23.08:14:53
com-friendster,112357292,1625455912,fasttrim,1,54527.401000,112357292,-1,112357292,1463017061,0,0,0,0,0,4096,573,90,100,2021-06-23.08:25:55
com-friendster,124836180,1625472525,fasttrim,1,59267.146000,124836180,-1,124836180,1625472525,0,0,0,0,0,4096,562,100,90,2021-06-23.08:40:38
