model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,traveledge,sccs,maxscc,size1,size2,size3,parstep,date
livej,4847571,68993773,fasttrim,-1,489.418000,576074,-1,576074,321778,0,0,0,0,0,1,2021-06-04.04:52:44
wiki_talk_en,2987536,24981163,fasttrim,-1,464.973000,2293679,-1,2293679,197075,0,0,0,0,0,1,2021-06-04.04:52:47
livej,4847571,68993773,trim,-1,1798.422000,592952,9,592952,2888836,592952,1,592952,0,0,1,2021-06-04.04:52:51
wiki_talk_en,2987536,24981163,trim,-1,667.278000,2611598,7,2611598,260182,2611598,1,2611598,0,0,1,2021-06-04.04:52:54
livej,4847571,68993773,ac4trim,-1,157.334000,576074,-1,576074,169573,0,0,0,0,0,1,2021-06-04.04:52:57
wiki_talk_en,2987536,24981163,ac4trim,-1,232.797000,2293679,-1,2293679,365916,0,0,0,0,0,1,2021-06-04.04:52:59
livej,4847571,68993773,fasttrim,-1,413.741000,576074,-1,576074,321844,0,0,0,0,0,2,2021-06-04.04:53:02
wiki_talk_en,2987536,24981163,fasttrim,-1,354.495000,2293679,-1,2293679,196981,0,0,0,0,0,2,2021-06-04.04:53:05
livej,4847571,68993773,trim,-1,1009.464000,592952,9,592952,2663571,592952,1,592952,0,0,2,2021-06-04.04:53:08
wiki_talk_en,2987536,24981163,trim,-1,420.912000,2611598,7,2611598,256683,2611598,1,2611598,0,0,2,2021-06-04.04:53:11
livej,4847571,68993773,ac4trim,-1,87.451000,576074,-1,576074,182444,0,0,0,0,0,2,2021-06-04.04:53:14
wiki_talk_en,2987536,24981163,ac4trim,-1,182.265000,2293679,-1,2293679,384159,0,0,0,0,0,2,2021-06-04.04:53:16
livej,4847571,68993773,fasttrim,-1,243.882000,576074,-1,576074,316371,0,0,0,0,0,4,2021-06-04.04:53:19
wiki_talk_en,2987536,24981163,fasttrim,-1,213.603000,2293679,-1,2293679,192993,0,0,0,0,0,4,2021-06-04.04:53:21
livej,4847571,68993773,trim,-1,595.214000,592952,9,592952,2511752,592952,1,592952,0,0,4,2021-06-04.04:53:25
wiki_talk_en,2987536,24981163,trim,-1,240.332000,2611598,7,2611598,245579,2611598,1,2611598,0,0,4,2021-06-04.04:53:27
livej,4847571,68993773,ac4trim,-1,53.621000,576074,-1,576074,162098,0,0,0,0,0,4,2021-06-04.04:53:30
wiki_talk_en,2987536,24981163,ac4trim,-1,138.418000,2293679,-1,2293679,421011,0,0,0,0,0,4,2021-06-04.04:53:32
livej,4847571,68993773,fasttrim,-1,446.980000,576074,-1,576074,323405,0,0,0,0,0,8,2021-06-04.04:53:35
wiki_talk_en,2987536,24981163,fasttrim,-1,172.292000,2293679,-1,2293679,192977,0,0,0,0,0,8,2021-06-04.04:53:38
livej,4847571,68993773,trim,-1,517.895000,592952,8,592952,2280290,592952,1,592952,0,0,8,2021-06-04.04:53:41
wiki_talk_en,2987536,24981163,trim,-1,102.353000,2611598,7,2611598,244061,2611598,1,2611598,0,0,8,2021-06-04.04:53:43
livej,4847571,68993773,ac4trim,-1,39.026000,576074,-1,576074,164177,0,0,0,0,0,8,2021-06-04.04:53:46
wiki_talk_en,2987536,24981163,ac4trim,-1,109.710000,2293679,-1,2293679,389546,0,0,0,0,0,8,2021-06-04.04:53:48
livej,4847571,68993773,fasttrim,-1,374.891000,576074,-1,576074,326048,0,0,0,0,0,16,2021-06-04.04:53:51
wiki_talk_en,2987536,24981163,fasttrim,-1,101.755000,2293679,-1,2293679,201232,0,0,0,0,0,16,2021-06-04.04:53:54
