model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,sccs,maxscc,size1,size2,size3,date
baidu,2141301,17794839,tarjan,1,583.260000,-1,-1,-1,1503004,-1,1480722,18688,2473,2019-11-08.12:55:34
baidu,2141301,17794839,tarjan,1,520.657000,-1,-1,-1,1503004,-1,1480722,18688,2473,2019-11-08.12:56:48
-bakery.6,11845035,40400559,tarjan,1,913.404000,-1,-1,-1,2636212,-1,2636197,0,0,2019-11-08.12:56:51
-cambridge.6,3354295,9483191,tarjan,1,154.691000,-1,-1,-1,8413,-1,8412,0,0,2019-11-08.12:56:52
dbpedia,3966925,13820853,tarjan,1,257.116000,-1,-1,-1,3636316,-1,3587274,24933,8868,2019-11-08.12:56:53
dbpedia-link,18268993,172183984,tarjan,1,4494.673000,-1,-1,-1,14459547,-1,14450686,7201,1107,2019-11-08.12:57:03
-leader-filters.7,26302351,91692858,tarjan,1,925.542000,-1,-1,-1,26302351,-1,26302351,0,0,2019-11-08.12:57:08
livej,4847571,68993773,tarjan,1,2353.407000,-1,-1,-1,971232,-1,947776,16875,3280,2019-11-08.12:57:13
patent,3774768,16518948,tarjan,1,10006.338000,-1,-1,-1,3774768,-1,3774768,0,0,2019-11-08.12:57:23
pokec,1632804,30622564,tarjan,1,1198.160000,-1,-1,-1,325893,-1,323799,1904,151,2019-11-08.12:57:26
random,10000001,100000000,tarjan,1,8629.031000,-1,-1,-1,877,-1,876,0,0,2019-11-08.12:57:38
rmat,9999994,100000000,tarjan,1,7411.119000,-1,-1,-1,2247072,-1,2247071,0,0,2019-11-08.12:57:50
ssca2,1048577,157877986,tarjan,1,886.180000,-1,-1,-1,31,-1,29,1,0,2019-11-08.12:57:55
wiki_link_en,12150977,378142420,tarjan,1,23431.837000,-1,-1,-1,4852900,-1,4846174,3205,1301,2019-11-08.12:58:30
wiki-links,5710993,130160392,tarjan,1,7936.948000,-1,-1,-1,2002220,-1,1998569,2692,605,2019-11-08.12:58:42
wiki_talk_en,2987536,24981163,tarjan,1,424.734000,-1,-1,-1,2736716,-1,2735641,992,58,2019-11-08.12:58:45
youtube-links,1138500,4942297,tarjan,1,190.037000,-1,-1,-1,613423,-1,602053,8696,1709,2019-11-08.12:58:46
baidu,2141301,17794839,fasttrim,1,101.406000,598975,-1,598975,0,598975,0,0,0,2019-11-08.12:58:47
-bakery.6,11845035,40400559,fasttrim,1,494.520000,2636196,-1,2636196,0,2636196,0,0,0,2019-11-08.12:58:49
-cambridge.6,3354295,9483191,fasttrim,1,150.044000,8412,-1,8412,0,8412,0,0,0,2019-11-08.12:58:49
dbpedia,3966925,13820853,fasttrim,1,139.704000,1437127,-1,1437127,0,1437127,0,0,0,2019-11-08.12:58:50
dbpedia-link,18268993,172183984,fasttrim,1,1117.205000,8143619,-1,8143619,0,8143619,0,0,0,2019-11-08.12:58:57
-leader-filters.7,26302351,91692858,fasttrim,1,742.202000,26302351,-1,26302351,0,26302351,0,0,0,2019-11-08.12:59:02
livej,4847571,68993773,fasttrim,1,416.330000,592952,-1,592952,0,592952,0,0,0,2019-11-08.12:59:05
patent,3774768,16518948,fasttrim,1,1332.164000,3774768,-1,3774768,0,3774768,0,0,0,2019-11-08.12:59:07
pokec,1632804,30622564,fasttrim,1,124.083000,212042,-1,212042,0,212042,0,0,0,2019-11-08.12:59:08
random,10000001,100000000,fasttrim,1,1286.174000,455,-1,455,0,455,0,0,0,2019-11-08.12:59:13
